docid	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprintdate	genres	subjects	locnum	oclc	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
mdp.39015059414709	McKenna, Stephen	1888-1967.	1930.0	1930.0	s	1930	    	1930			PZ3.M1967Red	3119481.0	158026	2	2.0	2.0			The redemption of Morley Darville, | $c: by Stephen McKenna.		True	The redemption of Morley Darville
mdp.39015010966474	Manhood, H. A. (Harold Alfred)	1904-	1930.0	1930.0	s	1930	    	1930			PZ3.M31374Gay	1987620.0	158233	1	2.0	2.0			Gay agony, | $c: by H. A. Manhood.		True	Gay agony
mdp.39015059414972	Manning-Sanders, George		1930.0	1930.0	s	1930	    	1930			PZ3.M32Th	27825739.0	158241	1	1.0	1.0			The third day, | $c: by George Manning-Sanders.		True	The third day
mdp.39015059372055	Locke, William John	1863-1930.	1930.0	1930.0	s	1930	    	1930			PZ3.L796To	1663959.0	158510	1	1.0	1.0			The town of Tombarel | $c: [by] William J. Locke.		True	The town of Tombarel
mdp.39015059405848	Le Gallienne, Richard	1866-1947.	1930.0	1930.0	s	1930	    	1930			PZ3.L523Th	1469908.0	160059	1	1.0	1.0			There was a ship, | a romance, | $c: with frontispiece by Erté.		True	There was a ship, a romance
mdp.39015059415763	Norris, Charles Gilman	1881-1945.	1930.0	1930.0	s	1930	    	1930			PZ3.N79Se	1656484.0	160153	3	3.0	3.0			Seed | [a novel of birth control] | $c: by Charles G. Norris.		True	Seed [a novel of birth control]
mdp.39015059406507	Parsons, Alice Beal, Mrs		1930.0	1930.0	s	1930	    	1930			PZ3.P25Jo	7544590.0	160659	1	1.0	1.0			John Merrill's pleasant life, | a novel | $c: by Alice Beal Parsons.		True	John Merrill's pleasant life, a novel
mdp.39015004301241	Nolan, J. Bennett (James Bennett)	1877-1964.	1930.0	1930.0	s	1930	    	1930		Revolution, 1775-1783|History	PZ3.N7110Tal	4307178.0	160683	1	1.0	1.0			A tale of reading town; | an episode from the plot against Washington, | $c: by J. Bennett Nolan.		True	A tale of reading town; an episode from the plot against Washington
mdp.39015048505039	Sherriff, R. C. (Robert Cedric)	1896-1975.	1930.0	1930.0	s	1930	    	1930		World War, 1914-1918		1398951.0	161771	1	1.0	1.0			Journey's end; | a novel | $c: by R. C. Sherriff and Vernon Hartlett.		True	Journey's end; a novel
mdp.39015059410475	Spencer, Claire		1930.0	1930.0	s	1930	    	1930				603896.0	161795	2	2.0	2.0			Gallow's orchard | $c: [by] Claire Spencer.		True	Gallow's orchard
mdp.39015004034685	Read, Opie Percival	1852-1939.	1930.0	1930.0	s	1930	    	1930			PS2679.R6Z5 1930	276619.0	162544	1	1.0	1.0			I remember, | $c: by Opie Read.		True	I remember
mdp.39015059427172	Widdemer, Margaret		1930.0	1930.0	s	1930	    	1930			PZ3.W6337Al	691446.0	162914	1	1.0	1.0			All the king's horses, | $c: by Margaret Widdemer.		True	All the king's horses
mdp.39015000540248	Palmer, Vance	1885-1959.	1930.0	1930.0	s	1930	    	1930		Australian fiction		11810346.0	190201	1	3.0	2.0			The passage / | $c: by Vance Palmer.		True	The passage
mdp.39015058690994	Brown, Lewis Fisher		1930.0	1930.0	s	1930	    	1930			PS508.C6B75	5165259.0	200603	2	2.0	2.0			Script; | an anthology of literature produced by students of the College of William and Mary, | $c: edited by Lewis F. Brown and Fay P. Le Compte; with a foreword by Grace Warren Landrum.		True	Script; an anthology of literature produced by students of the College of William and Mary
mdp.39015023145215	Frey, Alexander M. (Alexander Moritz)	1881-1957.	1930.0	1930.0	s	1930	    	1930		World War, 1914-1918	PZ3.F897Cr	1833326.0	204543	1	1.0	1.0			The cross bearers, | $c: by A. M. Frey; a story of the medical corps.		True	The cross bearers
mdp.39015063514643	Flynn, Brian	1885-	1930.0	1930.0	s	1930	    	1930				8630200.0	205057	1	1.0	1.0			The murders near Mapleton, | $c: by Brian Flynn.		True	The murders near Mapleton
mdp.39015063924032	Footner, Hulbert	1879-1944.	1930.0	1930.0	s	1930	    	1930			PZ3.F7395My	1808536.0	205236	1	1.0	1.0			The mystery of the folded paper, | $c: by Hulbert Footner.		True	The mystery of the folded paper
mdp.39015063957206	Fletcher, J. S. (Joseph Smith)	1863-1935.	1930.0	1930.0	s	1930	    	1930				11259689.0	205328	1	1.0	1.0			Old Lattimer's legacy, | $c: by J. S. Fletcher.		True	Old Lattimer's legacy
mdp.39015063957222	Fletcher, J. S. (Joseph Smith)	1863-1935.	1930.0	1930.0	s	1930	    	1930			PZ3.F634Per2	4899902.0	205332	1	1.0	1.0			Perris of the Cherry-trees, | $c: by J. S. Fletcher.		True	Perris of the Cherry-trees
mdp.39015063957495	Fletcher, J. S. (Joseph Smith)	1863-1935.	1930.0	1930.0	s	1930	    	1930			PZ3.F634So	6216790.0	205339	1	1.0	1.0			The South Foreland murder.		True	The South Foreland murder
mdp.39015063957230	Fletcher, J. S. (Joseph Smith)	1863-1935.	1930.0	1930.0	s	1930	    	1930			PZ3.F634Yo	15324156.0	205349	1	1.0	1.0			The Yorkshire moorland murder.		True	The Yorkshire moorland murder
mdp.39015063918190	Fletcher, J. S. (Joseph Smith)	1863-1935.	1930.0	1930.0	s	1930	    	1930			PZ3.F634Hes	12146378.0	205377	1	1.0	1.0			The heaven-sent witness and other stories, | $c: by J. S. Fletcher.		True	The heaven-sent witness and other stories
