book_id	author	authordate	title	compositionyear	hathidate	genre	audience	authgender	wordcount
40919	Scoville, Samuel	b. 1872.	Everyday adventures	1920	1920	bio		m	360458
33498	Rhodes, Eugene Manlove	1869-1934.	Bransford of Rainbow Range	1920	1920	fic		m	301538
49957	Judson, Clara Ingram	1879-1960.	Mary Jane in New England	1921	1921	fic		f	187300
37710	Baldwin, Faith	1893-1978.	Mavis of Green Hill	1921	1921	fic		f	396947
38018	Roy, Lillian Elizabeth	1868-1932.	Girl scouts in the Rockies	1921	1921	fic	juv	f	293873
37800	Roy, Lillian Elizabeth	1868-1932.	Girl Scouts at Dandelion Camp	1921	1921	fic	juv	f	300083
56178	Golding, Louis	1895-1958.	Forward from Babylon	1921	1921	fic		m	498595
52019	Singmaster, Elsie	1879-1958.	Ellen Levis;	1921	1921	fic		f	560538
58009	Sheridan, Clare	1885-1970.	Russian portraits	1921	1921	bio		f	240794
36534	Tetley, William C		Blanco y Colorado;	1921	1921	bio		m	376000
38447	O'Neil, Owen Rowe		Adventures in Swaziland;	1921	1921	bio		m	543284
42281	Keller, Elizabeth Leavitt	1839-	Walt Whitman in Mickle Street	1921	1921	bio		m	248914
34440	Levinger, Lee J.		A Jewish chaplain in France	1921		bio		m	364113
46220	Hamsun, Knut	1859-1952.	Mothwise	1921	1921	fic			197409
31542	Rolland, Romain	1866-1944.	Pierre and Luce	1922	1922	fic		m	123036
36754	Larsen, Hanna Astrup,		Knut Hamsun	1922		bio		f	171858
32371	Blunden, Edmund		The Bonadventure;	1922	1922	bio		m	270344
50553	Gordon, Elizabeth	1866-1922.	Buddy Jim	1922	1922	fic	juv	m	115922
58666	Bennett, Arnold	1867-1931.	Riceyman Steps	1923	1923	fic		m	542880
53637	Lester, Pauline		Marjorie Dean Macy	1926	1926	fic	juv	f	326205
48924	Pennell, Joseph	1857-1926.	Joseph Pennell's pictures of Philadelphia: reproductions of sixty-four lithographs made by him	1926	1926	bio		m	39641
