title	words_men	words_women	frac_women	script_id	imdb_id	year	gross
The Last Flight	5890.0	1912.0	0.2450653678543963	1086	tt0022054	1931	
The Last Samurai	16556.0	240.0	0.01428911645629912	2739	tt0325710	2003	160.0
The Last Station	11926.0	7144.0	0.3746198217094914	2742	tt0824758	2009	7.0
The Last Temptation of Christ	6647.0	731.0	0.09907834101382489	4507	tt0095497	1988	17.0
The Last of the Mohicans	9558.0	1847.0	0.161946514686541	4503	tt0104691	1992	151.0
The Lazarus Effect	3608.0	2000.0	0.3566333808844508	7349	tt2918436	2015	26.0
The Lego Movie	8573.0	1631.0	0.1598392787142297	7944	tt1490017	2014	274.0
The Leopard Man	4785.0	3421.0	0.4168900804289544	4520	tt0036104	1943	
The Life Aquatic with Steve Zissou	11486.0	1821.0	0.13684526940707897	6815	tt0362270	2004	33.0
The Life of David Gale	3030.0	3182.0	0.5122343850611719	1100	tt0289992	2003	28.0
The Limey	14856.0	4250.0	0.2224432115565791	2772	tt0165854	1999	5.0
The Lincoln Lawyer	16138.0	3303.0	0.16989866776400392	2779	tt1189340	2011	63.0
The Lion King	2397.0	365.0	0.13215061549601737	2782	tt0110357	1994	880.0
The Little Mermaid	8276.0	3456.0	0.29457892942379815	2784	tt0097757	1989	241.0
The Lobster	5731.0	5079.0	0.46984273820536543	8034	tt3464902	2015	
The Long Goodbye	7206.0	278.0	0.037145911277391766	6511	tt0070334	1973	
The Long Kiss Goodnight	3657.0	2410.0	0.39723092137794624	1111	tt0116908	1996	65.0
The Lookout	10552.0	1193.0	0.10157513835674756	4549	tt0427470	2007	5.0
The Lorax	4266.0	901.0	0.1743758467195665	4554	tt1482459	2012	233.0
The Lord of the Rings: The Fellowship of the Ring	7483.0	1212.0	0.13939045428407132	1115	tt0120737	2001	482.0
The Lord of the Rings: The Return of the King	3888.0	145.0	0.03595338457723779	1114	tt0167260	2003	543.0
The Lord of the Rings: The Two Towers	5260.0	206.0	0.03768752286864252	1116	tt0167261	2002	509.0
The Losers	7537.0	914.0	0.10815288131582061	2805	tt0480255	2010	25.0
The Lost Boys	5722.0	1733.0	0.23246143527833668	4559	tt0093437	1987	71.0
